Category	SourceFiles	DestFiles	SourceBytes	DestBytes	SourcePath	DestPath
bgimage	153	153	454172197	454172197	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\bgimage	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\bgimage
bgm	82	82	122562986	122562986	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\bgm	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\bgm
data	1426	1426	248338499	248338499	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\data	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\data
data_hgl	10459	10459	1007749694	1007749694	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\data_hgl	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\data_hgl
evimage	644	644	1262301031	1262301031	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\evimage	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\evimage
fgimage	1541	1541	665664965	665664965	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\fgimage	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\fgimage
main	59	59	1805582	1805582	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\main	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\main
scn	294	294	147931256	147931256	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\scn	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\scn
tenshin_chs	301	301	174436836	174436836	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\tenshin_chs	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\tenshin_chs
uipsd	155	155	29756826	29756826	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\uipsd	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\ui\uipsd
video	537	537	2095644568	2095644568	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\video	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\video
voice	21479	21479	806936340	806936340	F:\Galgame\天神乱漫 Happy GO Lucky!!\XP3_Extracted_Restored_Structured_Clean_v3\voice	F:\Galgame\天神乱漫 Happy GO Lucky!!_godot\assets\voice
TOTAL	37130	37130	7017300780	7017300780		
